# 1 Katode	# 2 I electrons	# 3 I holes	# 4 I tot	# 5 Anode	# 6 I electrons	# 7 I holes	# 8 I tot	
0	-4.35792e-05	-4.69737e-06	-4.82766e-05	1	4.35792e-05	4.69737e-06	4.82766e-05	
0	-6.36417e-05	-7.82623e-06	-7.14679e-05	1.05	6.36417e-05	7.82623e-06	7.14679e-05	
0	-8.54871e-05	-1.1136e-05	-9.66232e-05	1.1	8.54871e-05	1.1136e-05	9.66232e-05	
0	-0.000108444	-1.43429e-05	-0.000122787	1.15	0.000108444	1.43429e-05	0.000122787	
0	-0.000132373	-1.73535e-05	-0.000149726	1.2	0.000132373	1.73535e-05	0.000149726	
0	-0.000152548	-2.02048e-05	-0.000172753	1.25	0.000152548	2.02048e-05	0.000172753	
0	-0.000176822	-2.28674e-05	-0.000199689	1.3	0.000176822	2.28674e-05	0.000199689	
0	-0.000201949	-2.53987e-05	-0.000227347	1.35	0.000201949	2.53987e-05	0.000227347	
0	-0.000227851	-2.78194e-05	-0.00025567	1.4	0.000227851	2.78194e-05	0.00025567	
0	-0.000254398	-3.01445e-05	-0.000284543	1.45	0.000254398	3.01445e-05	0.000284543	
0	-0.000281434	-3.23851e-05	-0.000313819	1.5	0.000281434	3.23851e-05	0.000313819	
	
