"ArsenicActiveConcentration","BoronActiveConcentration","DopingConcentration","Electron density [cm-3]","Electrostatic potential [V]","Hole density [cm-3]","PhosphorusActiveConcentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.3999999762e-02,2.5000000373e-02,2.5000000373e-02,4.3999999762e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.5000001788e-02,2.5000000373e-02,2.5000000373e-02,4.5000001788e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.6000000089e-02,2.5000000373e-02,2.5000000373e-02,4.6000000089e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.6999998391e-02,2.5000000373e-02,2.5000000373e-02,4.6999998391e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.8000000417e-02,2.5000000373e-02,2.5000000373e-02,4.8000000417e-02
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.8999998719e-02,2.5000000373e-02,2.5000000373e-02,4.8999998719e-02
1.0999998689e+18,1.0000000000e+17,9.9999986887e+17,9.9999988079e+17,4.7437717052e-01,1.1920929026e+10,0.0000000000e+00,1,5.0000000745e-02,2.5000000373e-02,2.5000000373e-02,5.0000000745e-02
9.2400016785e+17,1.0000000000e+17,8.2400016785e+17,8.4000015259e+17,3.4810160112e-01,1.5999984741e+16,0.0000000000e+00,1,5.0999999046e-02,2.5000000373e-02,2.5000000373e-02,5.0999999046e-02
7.4799981117e+17,1.0000000000e+17,6.4799981117e+17,6.7999982834e+17,2.2182556130e-01,3.2000017166e+16,0.0000000000e+00,1,5.2000001073e-02,2.5000000373e-02,2.5000000373e-02,5.2000001073e-02
5.7200011015e+17,1.0000000000e+17,4.7200011015e+17,5.2000010014e+17,9.5549991900e-02,4.7999989986e+16,0.0000000000e+00,1,5.2999999374e-02,2.5000000373e-02,2.5000000373e-02,5.2999999374e-02
