#AcceptorConcentration	ElectricField:0	ElectricField:1	ElectricField:2	AugerRecombination	BandGap	BandgapNarrowing	ConductionBandEnergy	DisplaceCurrentDensity	DonorConcentration	DopingConcentration	ElectronAffinity	ElectrostaticPotential	ImpactIonization	LatticeTemperature	QuasiFermiPotential	SpaceCharge	TotalRecombination	ValenceBandEnergy	eDensity	eEparallel	eImpactIonization	eMobility	eQuasiFermiPotential	eVelocity	hDensity	hEparallel	hImpactIonization	hMobility	hQuasiFermiPotential	hVelocity	srhRecombination	TotalCurrentDensity:0	TotalCurrentDensity:1	TotalCurrentDensity:2	eCurrentDensity:0	eCurrentDensity:1	eCurrentDensity:2	eGradQuasiFermi:0	eGradQuasiFermi:1	eGradQuasiFermi:2	hCurrentDensity:0	hCurrentDensity:1	hCurrentDensity:2	hGradQuasiFermi:0	hGradQuasiFermi:1	hGradQuasiFermi:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.00E+017	-5.53E+003	8.91E+001	-9.05E+004	-1.29E+005	1.12E+000	0.00E+000	2.40E-001	0.00E+000	5.93E+015	-9.41E+016	4.07E+000	3.21E-001	5.76E-025	3.00E+002	1.00E-001	-9.51E+016	-2.25E+011	-8.84E-001	1.02E+015	1.20E+004	5.76E-025	1.42E+003	4.75E-002	1.28E+007	1.29E+005	0.00E+000	0.00E+000	4.71E+002	8.50E-009	6.69E+000	-2.25E+011	-2.69E+003	4.32E-001	-9.97E+001	-2.69E+003	4.32E-001	-9.97E+001	-9.61E+003	2.38E+001	-4.07E+002	-1.34E-013	1.71E-016	-1.87E-013	-1.22E-002	3.53E-005	-9.73E-003	1	2.49E-001	1.50E-001	2.00E-002	2.49E-001
1.00E+017	-6.11E+003	9.48E+001	-9.12E+004	-1.98E+005	1.12E+000	0.00E+000	2.13E-001	0.00E+000	6.28E+015	-9.37E+016	4.07E+000	3.48E-001	5.83E-025	3.00E+002	1.00E-001	-9.53E+016	-7.47E+010	-9.11E-001	1.57E+015	1.12E+004	5.83E-025	1.42E+003	4.77E-002	1.31E+007	4.27E+004	0.00E+000	0.00E+000	4.71E+002	1.09E-008	9.54E+000	-7.47E+010	-4.05E+003	4.74E-001	-1.47E+002	-4.05E+003	4.74E-001	-1.47E+002	-9.42E+003	2.65E+001	-2.96E+002	-5.11E-014	6.44E-017	-6.87E-014	-1.77E-002	-1.78E-004	-1.30E-002	1	2.52E-001	1.50E-001	2.00E-002	2.52E-001
1.00E+017	-6.63E+003	6.27E+001	-9.26E+004	-6.21E+005	1.12E+000	0.00E+000	1.85E-001	0.00E+000	6.58E+015	-9.34E+016	4.07E+000	3.76E-001	3.52E-025	3.00E+002	1.00E-001	-9.84E+016	-1.23E+010	-9.39E-001	4.95E+015	1.02E+004	3.52E-025	1.42E+003	4.78E-002	1.29E+007	6.92E+003	0.00E+000	0.00E+000	4.71E+002	1.55E-008	1.70E+001	-1.23E+010	-1.10E+004	6.06E-001	-2.69E+002	-1.10E+004	6.06E-001	-2.69E+002	-9.18E+003	1.85E+001	-2.25E+002	-1.49E-014	1.50E-017	-1.77E-014	-2.99E-002	-1.46E-004	-1.86E-002	1	2.55E-001	1.50E-001	2.00E-002	2.55E-001
1.00E+017	-7.09E+003	9.64E+000	-9.47E+004	-1.35E+006	1.12E+000	0.00E+000	1.57E-001	0.00E+000	6.84E+015	-9.32E+016	4.07E+000	4.04E-001	2.20E-029	3.00E+002	1.00E-001	-1.04E+017	-3.18E+009	-9.67E-001	1.08E+016	9.05E+003	2.20E-029	1.42E+003	4.79E-002	1.25E+007	1.78E+003	0.00E+000	0.00E+000	4.71E+002	2.16E-008	2.78E+001	-3.18E+009	-2.32E+004	8.41E-001	-4.75E+002	-2.32E+004	8.41E-001	-4.75E+002	-8.91E+003	4.56E+000	-1.76E+002	-7.09E-015	5.80E-019	-7.15E-015	-4.70E-002	3.53E-005	-2.59E-002	1	2.58E-001	1.50E-001	2.00E-002	2.58E-001
1.00E+017	-7.10E+003	-9.25E+000	-9.90E+004	-4.34E+006	1.12E+000	0.00E+000	1.28E-001	0.00E+000	7.04E+015	-9.30E+016	4.07E+000	4.33E-001	1.20E-031	3.00E+002	1.00E-001	-1.29E+017	-1.10E+009	-9.97E-001	3.56E+016	8.83E+003	1.20E-031	1.42E+003	4.79E-002	1.23E+007	6.11E+002	0.00E+000	0.00E+000	4.71E+002	3.11E-008	4.58E+001	-1.10E+009	-7.84E+004	2.21E+000	-1.23E+003	-7.84E+004	2.21E+000	-1.23E+003	-8.66E+003	3.16E-002	-1.26E+002	-3.39E-015	3.72E-019	-2.43E-015	-7.87E-002	1.94E-004	-3.76E-002	1	2.61E-001	1.50E-001	2.00E-002	2.61E-001
1.00E+017	-7.38E+003	-9.65E+000	-1.05E+005	-1.30E+007	1.12E+000	0.00E+000	9.72E-002	0.00E+000	7.18E+015	-9.28E+016	4.07E+000	4.64E-001	2.88E-032	3.00E+002	1.00E-001	-2.07E+017	-3.60E+008	-1.03E+000	1.14E+017	8.36E+003	2.88E-032	1.42E+003	4.79E-002	1.21E+007	1.93E+002	0.00E+000	0.00E+000	4.71E+002	4.30E-008	6.50E+001	-3.47E+008	-2.48E+005	6.80E+000	-2.00E+003	-2.48E+005	6.80E+000	-2.00E+003	-8.54E+003	5.54E-002	-6.88E+001	-1.63E-015	1.42E-019	-9.85E-016	-1.18E-001	2.59E-004	-4.37E-002	1	2.64E-001	1.50E-001	2.00E-002	2.64E-001
1.00E+017	-7.57E+003	-9.14E+000	-1.18E+005	-3.58E+007	1.12E+000	0.00E+000	6.46E-002	0.00E+000	7.28E+015	-9.27E+016	4.07E+000	4.96E-001	2.17E-032	3.00E+002	1.00E-001	-4.70E+017	-1.29E+008	-1.06E+000	3.78E+017	7.92E+003	2.17E-032	1.42E+003	4.80E-002	1.20E+007	5.17E+001	0.00E+000	0.00E+000	4.71E+002	5.55E-008	8.31E+001	-9.30E+007	-8.30E+005	2.38E+001	-2.06E+003	-8.30E+005	2.38E+001	-2.06E+003	-8.47E+003	9.06E-002	-2.60E+001	-6.44E-016	5.58E-020	-2.76E-016	-1.61E-001	2.95E-004	-3.65E-002	1	2.67E-001	1.50E-001	2.00E-002	2.67E-001
1.00E+017	-7.58E+003	-1.44E+001	-1.57E+005	-7.82E+007	1.12E+000	0.00E+000	2.53E-002	0.00E+000	7.31E+015	-9.27E+016	4.07E+000	5.36E-001	5.71E-032	3.00E+002	1.00E-001	-1.77E+018	-9.75E+007	-1.10E+000	1.68E+018	7.46E+003	5.71E-032	1.42E+003	4.80E-002	1.19E+007	1.08E+001	0.00E+000	0.00E+000	4.71E+002	6.23E-008	8.49E+001	-1.93E+007	-6.33E+005	1.62E+001	6.46E+001	-3.16E+006	8.11E+001	3.23E+002	-8.46E+003	-7.98E-001	4.83E+000	-1.42E-016	2.46E-020	-1.01E-017	-2.11E-001	-8.04E-004	-8.59E-004	1	2.70E-001	1.50E-001	2.00E-002	2.70E-001
0.00E+000	-6.55E+003	-3.23E+001	-4.89E+005	0.00E+000	9.00E+000	0.00E+000	3.05E+000	0.00E+000	0.00E+000	0.00E+000	9.00E-001	6.82E-001	0.00E+000	3.00E+002	-2.00E-001	0.00E+000	0.00E+000	-5.95E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-2.00E-001	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-2.00E-001	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	1	2.73E-001	1.50E-001	2.00E-002	2.73E-001
0.00E+000	-6.04E+003	-2.05E+001	-4.88E+005	0.00E+000	9.00E+000	0.00E+000	2.90E+000	0.00E+000	0.00E+000	0.00E+000	9.00E-001	8.29E-001	0.00E+000	3.00E+002	-2.00E-001	0.00E+000	0.00E+000	-6.10E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-2.00E-001	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-2.00E-001	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	1	2.76E-001	1.50E-001	2.00E-002	2.76E-001
